instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,prediction
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1102.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,131,670,801,1072.51
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,120,1229,1349,1374.87
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,108,1454,1562,1498.27
5,2011-01-05,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,82,1518,1600,1604.08
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,88,1518,1606,1569.55
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,148,1362,1510,1498.33
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,1006.02
9,2011-01-09,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,54,768,822,930.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,41,1280,1321,1352.76
11,2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,43,1220,1263,1079.82
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,1258.92
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,38,1368,1406,1408.29
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,1418.48
15,2011-01-15,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,222,1026,1248,1282.73
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,1223.75
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,1052.03
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,9,674,683,923.78
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,78,1572,1650,1386.53
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,1819.82
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,1462.77
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,1039.41
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,150,836,986,994.17
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,86,1330,1416,1403.97
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,1724.37
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,686.29
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,723.64
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,38,1129,1167,1038.45
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,123,975,1098,1107.94
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,1113.41
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,1423.14
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,47,1313,1360,1406.56
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,1572.6
34,2011-02-03,1,0,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,61,1489,1550,1583.41
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,88,1620,1708,1685.01
36,2011-02-05,1,0,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,100,905,1005,1112.96
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,1687.05
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,120,1592,1712,1712.0
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,1552.17
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,1578.68
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.14954800000000001,0.437391,0.221935,47,1491,1538,1561.35
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,1716.89
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,288,1184,1472,1525.37
44,2011-02-13,1,0,2,0,0,0,1,0.31652199999999997,0.324113,0.457391,0.260883,397,1192,1589,1682.21
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,1852.32
46,2011-02-15,1,0,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,140,1675,1815,1828.22
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,218,1897,2115,1975.22
48,2011-02-17,1,0,2,0,4,1,1,0.43583299999999997,0.428658,0.505,0.230104,259,2216,2475,2567.66
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,3162.59
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,1699.53
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,1844.49
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,1317.05
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,1473.64
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.24571700000000002,0.423043,0.094113,139,1778,1917,1826.99
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,1731.23
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,1574.17
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.18657100000000001,424,1545,1969,1858.0
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,2186.79
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.8763639999999999,0.289686,81,1365,1446,1535.13
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,1898.32
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.30783299999999997,231,1903,2134,2108.6
62,2011-03-03,1,0,3,0,4,1,1,0.19833299999999998,0.200133,0.318333,0.225754,123,1562,1685,1748.7
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,1938.14
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,2173.81
65,2011-03-06,1,0,3,0,0,0,2,0.37652199999999997,0.366252,0.948261,0.343287,114,491,605,1077.15
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,1807.29
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,2119.68
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,1872.24
69,2011-03-10,1,0,3,0,4,1,3,0.38909099999999996,0.385668,0.0,0.26187699999999997,46,577,623,1306.5
70,2011-03-11,1,0,3,0,5,1,2,0.31652199999999997,0.305,0.649565,0.23296999999999998,247,1730,1977,1971.77
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2156.5
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.5273909999999999,0.270604,982,1435,2417,2392.75
73,2011-03-14,1,0,3,0,1,1,1,0.32521700000000003,0.332,0.496957,0.136926,359,1687,2046,2105.33
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,1995.72
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693000000000003,0.776522,0.20311700000000002,321,1871,2192,2154.07
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2560.09
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.5270090000000001,0.525217,0.231017,884,2355,3239,3365.59
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.37916700000000003,0.368167,1424,1693,3117,3632.9
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.20772100000000002,1047,1424,2471,2322.69
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2041.4
81,2011-03-22,2,0,3,0,2,1,1,0.44166700000000003,0.44064200000000003,0.624583,0.22575,460,2243,2703,2879.7
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.23426100000000002,203,1918,2121,2057.8
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.24378699999999998,166,1699,1865,1877.05
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2116.47
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2314.52
86,2011-03-27,2,0,3,0,0,0,2,0.25304299999999996,0.250339,0.493913,0.1843,472,1221,1693,1821.25
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.25757399999999997,0.302174,0.212204,222,1806,2028,2080.48
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.31416700000000003,0.226996,317,2108,2425,2271.64
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.17288800000000001,168,1368,1536,1771.96
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,1420.52
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2048.59
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.19714600000000002,898,1354,2252,2133.67
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2955.48
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,3408.17
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,1872.05
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2636.02
